Types,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Balance Training,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Body Weight Training,0,0,0,0,0,0,8,9,10,9,9,7,6,4,8,3,8
Boot Camp,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Children and Obesity,10,9,9,8,7,6,7,0,0,0,0,0,0,0,0,0,0
Core Training,6,6,6,6,5,4,2,0,0,0,0,0,0,0,0,0,0
Employing Certified Fitness Professionals,8,10,10,10,10,10,10,8,8,6,7,5,5,1,0,0,2
Exercise for Weight Loss,2,0,0,0,4,7,6,6,5,2,1,0,0,0,0,6,3
Exercise is Medicine,0,0,0,0,0,0,0,0,0,0,4,0,1,5,4,0,0
Fitness Programs for Older Adults,9,5,5,5,9,8,5,4,3,3,0,2,7,3,2,0,7
Functional Fitness Training,7,3,0,4,2,1,3,3,2,4,0,1,2,0,0,0,6
Group Training,0,0,0,1,0,3,1,2,1,0,5,9,9,8,0,0,0
Health/Wellness Coaching,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
High Intensity Interval Training (Hiit),0,0,0,0,0,0,0,10,9,8,8,10,8,9,6,4,4
Home Exercise Gyms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Mind/Body Exercise,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Online Live and on-Demand Exercise Classes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
Outcome Measurements,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outdoor Activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5
Personal Training,4,8,8,7,6,5,4,5,6,5,2,3,3,6,1,5,1
Physician Referrals,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pilates,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport-Specific Training,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Stability Ball,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strength Training,5,7,7,9,8,9,9,7,7,7,6,6,0,0,0,0,0
Strength Training with Free Weights,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,9
Virtual Training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Wearable Technology,0,0,0,0,0,0,0,0,0,10,10,8,10,10,9,10,10
Yoga,0,1,0,0,0,0,0,1,4,1,3,4,4,0,0,0,0
Zumba and Other Dance Workouts,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
